report_date,geoid,county,state,last_update,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-31,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-31,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-31,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-02,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-03,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-04,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-05,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-06,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-07,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-08,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17117,Macoupin,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17119,Madison,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17133,Monroe,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,17163,St. Clair,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29071,Franklin,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29099,Jefferson,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29113,Lincoln,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29183,St. Charles,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29189,St. Louis,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29219,Warren,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-09,29510,St. Louis City,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-10,17005,Bond,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-10,17013,Calhoun,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-10,17027,Clinton,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-10,17083,Jersey,Illinois,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
